CH1 PSU Output (V),CH1 PSU Output Avg (A),CH1 PSU Output Min (A),CH1 PSU Output Max (A)17:15:50,4.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:15:54,4.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:15:58,CH1 PSU Output (V),CH1 PSU Output Avg (A),CH1 PSU Output Min (A),CH1 PSU Output Max (A)
17:17:51,0.0,0.0002,0.0,0.001
17:17:52,4.98,0.0,0.0,0.0
17:17:53,4.993,0.0,0.0,0.0
17:17:54,4.994,0.0,0.0,0.0
17:17:55,4.993,0.0,0.0,0.0
17:17:56,4.993,0.0,0.0,0.0
17:17:57,4.993,0.0,0.0,0.0
17:17:58,4.994,0.0,0.0,0.0
17:17:59,4.994,0.0,0.0,0.0
17:18:0,4.994,0.0,0.0,0.0
17:18:1,4.994,0.0,0.0,0.0
17:18:2,4.994,0.0,0.0,0.0
17:18:3,4.994,0.0,0.0,0.0
17:18:4,