CH1 PSU Output (V),CH1 PSU Output Avg (A),CH1 PSU Output Min (A),CH1 PSU Output Max (A),CH2 PSU Output (V),CH2 PSU Output Avg (A),CH2 PSU Output Min (A),CH2 PSU Output Max (A)
16:35:15,4.995,0.0,0.0,0.0,5.002,0.9964000000000001,0.996,0.997
16:35:19,4.995,0.0,0.0,0.0,5.003,0.9960000000000001,0.996,0.996
16:35:23,4.996,0.0,0.0,0.0,5.003,0.9960000000000001,0.996,0.996
16:35:27,4.997,0.0,0.0,0.0,5.002,0.9960000000000001,0.996,0.996
16:35:31,4.995,0.0,0.0,0.0,5.003,0.9958,0.995,0.996
16:35:36,4.995,0.0,0.0,0.0,5.003,0.9960000000000001,0.996,0.996
16:35:40,4.995,0.0,0.0,0.0,5.003,0.9960000000000001,0.996,0.996
16:35:44,4.995,0.0,0.0,0.0,5.003,0.9960000000000001,0.996,0.996
16:35:48,4.996,0.0,0.0,0.0,5.002,0.9955999999999999,0.995,0.996
16:35:52,4.996,0.0,0.0,0.0,5.003,0.9960000000000001,0.996,0.996
16:35:56,4.997,0.0,0.0,0.0,5.002,0.9958,0.995,0.996
16:36:0,4.997,0.0,0.0,0.0,5.002,0.9958,0.995,0.996
16:36:4,4.996,0.0,0.0,0.0,5.003,0.9955999999999999,0.995,0.996
16:36:8,4.995,0.0,0.0,0.0,5.003,0.9954000000000001,0.995,0.996
16:36:12,4.996,0.0,0.0,0.0,5.002,0.9954000000000001,0.995,0.996
16:36:16,4.994,0.0,0.0,0.0,5.002,0.9949999999999999,0.995,0.995
16:36:20,4.997,0.0,0.0,0.0,5.003,0.9958,0.995,0.996
16:36:25,4.995,0.0,0.0,0.0,5.003,0.9949999999999999,0.995,0.995
16:36:29,4.996,0.0,0.0,0.0,5.003,0.9954000000000001,0.995,0.996
16:36:33,4.995,0.0,0.0,0.0,5.002,0.9958,0.995,0.996
16:36:37,4.996,0.0,0.0,0.0,5.004,0.9954000000000001,0.995,0.996
16:36:41,4.995,0.0,0.0,0.0,5.004,0.9955999999999999,0.995,0.996
16:36:45,4.996,0.0,0.0,0.0,5.004,0.9952,0.995,0.996
16:36:49,4.996,0.0,0.0,0.0,5.004,0.9955999999999999,0.995,0.996
16:36:53,4.996,0.0,0.0,0.0,5.004,0.9952,0.995,0.996
16:36:58,4.995,0.0,0.0,0.0,5.003,0.9952,0.995,0.996
16:37:2,4.996,0.0,0.0,0.0,5.003,0.9952,0.995,0.996
16:37:6,4.996,0.0,0.0,0.0,5.002,0.9949999999999999,0.995,0.995
16:37:10,4.996,0.0,0.0,0.0,5.004,0.9949999999999999,0.995,0.995
16:37:14,4.995,0.0,0.0,0.0,5.004,0.9949999999999999,0.995,0.995
16:37:18,4.996,0.0,0.0,0.0,5.003,0.9949999999999999,0.995,0.995
16:37:22,